ΠΥΓϋ	°ΛΧΦΖΐ·Φ	ΞεΈρΖΐ·Φ	Χά·Φ
ΑυΖεΌΞ	90	84.8	174.8
ΑυΝςΌΞ	63	73.5	136.5
ΑυΌΞΌφ	89	86.7	175.7
ΑυΌΞ·Ι	61	81.8	142.8
ΑυΡΒΌΞ	70	75.7	145.7
ΑυΌΞΌΝ	89	81.8	170.8
ΑυΌΞ·Ζ	91	74.8	165.8
ΑυΌΞ·Δ	61	86.8	147.8
ΑυΤηΌΞ	61	83.4	144.4
ΑυΌΞΕΛ	60	83.2	143.2
Αυ¶ÒΌΞ	61.5	77.5	139.0
ΑυΙ­ΌΞ	90	84.8	174.8
ΑυΌΞΡ΅	61	86.7	147.7
ΑυΌΞΚϋ	73	74.8	147.8
ΑυΎωΌΞ	71.5	77.5	149.0
ΑυΉσΌΞ	90	84.8	174.8
ΑυΑΑΌΞ	98	85.2	183.2
ΑυΌΞ·Χ	61	86.8	147.8
ΑυκΡΌΞ	62	78.1	140.1
ΑυΕΛΌΞ	61	86.0	147.0
ΑυΌΞφΥ	60	83.2	143.2
ΑυΌΞ·Ò	89	86.8	175.8
Αυ³ΎΌΞ	98	74.8	172.8
ΑυΚχΌΞ	89	86.0	175.0
ΑυΐζΌΞ	95	75.7	170.7
ΑυΌΞΕζ	60.5	83.0	143.5
ΑυΌΞΕΰ	70	76.6	146.6
ΑυµΨΌΞ	71	83.4	154.4
ΑυΌΞ·η	61	81.8	142.8
ΑυΌΞΕμ	60	83.2	143.2
ΑυΌΞ·ε	61	86.8	147.8
ΑυΖ―ΌΞ	63	73.5	136.5
ΑυΧΟΌΞ	60	75.7	135.7
ΑυΌΞ·α	95.5	88.8	184.3
ΑυΌΞΚΗ	61	81.8	142.8
ΑυΛ·ΌΞ	96	92.9	188.9
ΑυΌΞΕτ	61	86.7	147.7
ΑυΚϋΌΞ	73	74.8	147.8
ΑυÒΥΌΞ	88	81.6	169.6
ΑυΌΞΕσ	60.5	80.4	140.9
ΑυΞ«ΌΞ	62.5	94.1	156.6
ΑυΥπΌΞ	63	73.5	136.5
ΑυΙμΌΞ	61.5	77.5	139.0
ΑυΌΞΥπ	63	78.0	141.0
ΑυΌΞΌΜ	89	75.0	164.0
ΑυΌΞά­	73	74.8	147.8
ΑυκΙΌΞ	95	75.7	170.7
ΑυΌΞκΚ	95	83.2	178.2
ΑυΌΞΚ«	62	77.2	139.2
ΑυΌΞκΜ	71	86.8	157.8
ΑυΌΞκΝ	62	77.2	139.2
ΑυΌΞκΟ	95	76.6	171.6
ΑυΌΞκΐ	70.5	83.0	153.5
ΑυΌΞΚΆ	62	83.2	145.2
ΑυΌΞΚ¤	62	83.2	145.2
ΑυΌΞΚ¥	72	77.2	149.2
ΑυΌΞκΖ	71	81.8	152.8
ΑυΌΞκΨ	96	75.0	171.0
Αυ½ςΌΞ	61	92.9	153.9
ΑυΌΞάΖ	89	86.8	175.8
Αυ¶΅ΌΞ	97	93.5	190.5
ΑυΌΞΚΏ	62	86.0	148.0
ΑυιΕΌΞ	91	74.8	165.8
ΑυΌΞΚ±	61	86.8	147.8
ΑυΌΞΌ¨	95.5	77.3	172.8
Αυ³ΣΌΞ	61	92.9	153.9
